,Date,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,ema_short,ema_long,transition,velas_posteriores,price_entry_long,price_entry_short,entrys,entry_dates_candle,static_tp,static_sl,static_tp_confirm,static_sl_confirm,static_tp_percent,static_sl_percent,date_tp_sl,dif_percent_long_to_tp,dif_percent_long_to_sl,dif_percent_short_to_tp,dif_percent_short_to_sl
7597,2025-01-02 09:05:00,3473.67,3474.0,3471.26,3473.96,5288.114,2025-01-02 09:09:59.999000-03:00,18368030.6052,8421,2867.285,9959406.78497,0,3470.4008344793347,3453.317111122489,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7598,2025-01-02 09:10:00,3473.95,3481.07,3473.07,3477.21,17520.836,2025-01-02 09:14:59.999000-03:00,60929775.32988,18781,11475.671,39906843.43481,0,3471.638864574001,3454.2540871569017,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7599,2025-01-02 09:15:00,3477.2,3480.73,3475.7,3478.33,9469.448,2025-01-02 09:19:59.999000-03:00,32939117.79142,14546,5444.905,18941437.18178,0,3472.855434651455,3455.198240601729,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7600,2025-01-02 09:20:00,3478.33,3478.33,3469.07,3472.63,8691.491,2025-01-02 09:24:59.999000-03:00,30181493.10856,13281,2626.523,9119797.22341,0,3472.814446533009,3455.8818390095043,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7601,2025-01-02 09:25:00,3472.63,3473.88,3469.07,3471.15,3822.785,2025-01-02 09:29:59.999000-03:00,13270933.80455,9226,2028.518,7042455.44008,0,3472.511819890644,3456.4805904208965,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7602,2025-01-02 09:30:00,3471.16,3472.17,3465.03,3470.72,6840.629,2025-01-02 09:34:59.999000-03:00,23724861.00674,12748,2972.155,10310183.33776,0,3472.186034455981,3457.038998639685,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7603,2025-01-02 09:35:00,3470.72,3472.8,3468.0,3472.79,3461.446,2025-01-02 09:39:59.999000-03:00,12011240.4728,8178,1590.565,5519868.84798,0,3472.295846373075,3457.6566849675405,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7604,2025-01-02 09:40:00,3472.79,3474.7,3472.0,3472.67,3135.683,2025-01-02 09:44:59.999000-03:00,10890710.35982,7759,1791.388,6221456.93035,0,3472.3638743052434,3458.2454424197936,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7605,2025-01-02 09:45:00,3472.68,3479.92,3472.67,3478.0,8521.86,2025-01-02 09:49:59.999000-03:00,29631699.91439,12644,6556.19,22796337.38698,0,3473.3886244315627,3459.020130952351,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7606,2025-01-02 09:50:00,3478.01,3478.01,3474.12,3475.34,2404.077,2025-01-02 09:54:59.999000-03:00,8355042.86562,7306,1077.212,3743537.7926,0,3473.74341998946,3459.660125816965,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7607,2025-01-02 09:55:00,3475.35,3480.35,3474.42,3479.98,5837.365,2025-01-02 09:59:59.999000-03:00,20306862.64831,9478,4150.26,14438660.52,0,3474.87734362774,3460.4569836280643,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7608,2025-01-02 10:00:00,3479.98,3484.54,3472.73,3476.91,32546.279,2025-01-02 10:04:59.999000-03:00,113153640.44537,20610,19864.523,69054541.54807,0,3475.2469175136057,3461.102199956376,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7609,2025-01-02 10:05:00,3476.9,3479.83,3474.51,3477.71,4657.773,2025-01-02 10:09:59.999000-03:00,16198485.52933,10025,1957.582,6807668.44291,0,3475.69475069295,3461.7534862325965,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7610,2025-01-02 10:10:00,3477.71,3477.97,3459.63,3461.76,41710.618,2025-01-02 10:14:59.999000-03:00,144543833.46725,27568,19916.636,68985920.18188,0,3473.161159657868,3461.7537416744553,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7611,2025-01-02 10:15:00,3461.75,3467.0,3458.91,3464.76,16947.871,2025-01-02 10:19:59.999000-03:00,58679143.5863,22208,7289.923,25243944.67567,0,3471.6336760837103,3461.87163415781,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7612,2025-01-02 10:20:00,3464.75,3466.98,3462.36,3464.4,6005.467,2025-01-02 10:24:59.999000-03:00,20807014.46713,11203,2108.15,7303672.48772,0,3470.318462250308,3461.970785759465,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7613,2025-01-02 10:25:00,3464.41,3468.23,3464.1,3467.66,5346.087,2025-01-02 10:29:59.999000-03:00,18532634.10751,9364,2796.483,9693747.16268,0,3469.835105477525,3462.1938922002705,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7614,2025-01-02 10:30:00,3467.66,3472.54,3463.47,3470.71,8689.649,2025-01-02 10:34:59.999000-03:00,30136922.61416,16211,4795.536,16634384.77911,0,3469.9941772088837,3462.5278572120246,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7615,2025-01-02 10:35:00,3470.7,3472.12,3466.21,3470.45,6465.615,2025-01-02 10:39:59.999000-03:00,22430650.1379,10934,2349.135,8150672.77336,0,3470.0770540799954,3462.8385294782197,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7616,2025-01-02 10:40:00,3470.46,3473.92,3468.72,3469.01,4043.099,2025-01-02 10:44:59.999000-03:00,14034418.31405,9822,2120.81,7362429.8252,0,3469.883044247269,3463.0805479300543,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
